# u v d x y z 
308.037720 292.588363 45.442966 7.255074 -0.242984 7.641401
313.613834 277.936163 45.430302 7.242409 -0.605094 8.593287
325.635910 268.323298 45.459187 7.271295 -1.385565 9.215998
337.117920 259.973774 45.481422 7.293530 -2.131769 9.757595
352.188797 236.784554 45.524841 7.336948 -3.112971 11.264478
362.008438 227.722034 45.558998 7.371106 -3.753646 11.854463
373.934746 215.091333 45.282139 7.094244 -4.508530 12.666672
373.685684 216.111946 45.932625 7.744731 -4.542308 12.622847
362.137604 201.476154 45.636623 7.448731 -3.766726 13.566929
347.094994 243.872738 45.981022 7.793127 -2.799352 10.800971
344.019890 241.803689 47.045906 8.858013 -2.633896 10.934137
326.658592 274.273467 47.498692 9.310800 -1.471379 8.729725
345.113373 310.878410 47.134983 8.947089 -2.710584 6.282714
349.049950 313.130636 46.871811 8.683919 -2.964736 6.158552
352.541351 316.415534 46.610813 8.422918 -3.186386 5.967089
355.129356 319.523907 46.457317 8.269424 -3.351008 5.777550
357.844315 321.613526 46.301727 8.113833 -3.522782 5.657007
354.253159 321.352816 46.937344 8.749451 -3.316348 5.600382
356.576424 326.558604 46.917831 8.729938 -3.471111 5.253729
357.886200 329.874401 46.893505 8.705612 -3.557582 5.034610
359.083176 333.659263 46.879532 8.691637 -3.636988 4.782929
351.922607 323.033881 47.077549 8.889657 -3.166471 5.471030
354.203682 327.646379 47.060371 8.872478 -3.319041 5.162973
355.723000 332.106457 47.016155 8.828263 -3.418928 4.868944
357.496796 336.276770 47.001842 8.813948 -3.537300 4.590810
349.396095 323.478599 47.168633 8.980740 -3.000377 5.430259
350.966568 327.544141 47.169193 8.981300 -3.106227 5.156237
352.530098 332.232599 47.119232 8.931337 -3.209264 4.846890
353.925591 335.914893 47.103275 8.915380 -3.302425 4.601210
346.126404 323.364272 47.223694 9.035801 -2.782108 5.431405
347.829323 327.931652 47.211792 9.023898 -2.896519 5.124774
348.687782 330.997896 47.171856 8.983963 -2.952781 4.923161
349.738884 333.946438 47.174877 8.986984 -3.023741 4.724058
347.258720 243.661737 45.032852 6.844958 -2.773184 10.819791
344.896011 240.525784 43.969322 5.781430 -2.583359 11.022334
317.773609 270.391974 43.605347 5.417452 -0.880869 9.162142
331.903000 311.697292 43.825211 5.637316 -1.764775 6.566576
331.239662 325.058556 43.805733 5.617840 -1.722931 5.732428
332.209702 329.478350 43.801270 5.613376 -1.783559 5.456409
332.931976 332.633958 43.806873 5.618980 -1.828857 5.258212
333.600044 336.199522 43.778961 5.591069 -1.870125 5.038910
334.650192 325.537848 43.785034 5.597143 -1.935929 5.704964
335.698204 329.842100 43.752590 5.564698 -2.000755 5.439897
336.982841 334.633355 43.765205 5.577311 -2.081355 5.138721
338.295059 338.977818 43.769474 5.581580 -2.163509 4.866493
337.725601 325.169492 43.803322 5.615430 -2.128757 5.725780
339.369431 330.005908 43.775562 5.587669 -2.230854 5.426705
340.862846 335.246258 43.787991 5.600098 -2.324617 5.097300
342.443771 339.757032 43.778641 5.590748 -2.423213 4.816465
340.993309 323.442564 43.870316 5.682421 -2.335248 5.825859
342.866478 329.345112 43.852757 5.664864 -2.452069 5.458176
344.021187 333.021369 43.856308 5.668417 -2.524531 5.227398
345.100632 337.105265 43.849983 5.662092 -2.591933 4.972411
336.966209 313.511310 44.026833 5.838938 -2.086656 6.431832
341.469231 316.483898 44.227428 6.039536 -2.376029 6.222952
344.509239 319.525766 44.332165 6.144272 -2.571769 6.018861
347.489395 321.894722 44.449207 6.261312 -2.765102 5.855138
300.453491 299.684858 46.367794 8.179901 0.275196 7.101852
353.975868 338.511314 46.331161 8.143268 -3.268333 4.535155
333.151779 401.484883 45.949730 7.761837 -1.882874 0.455093
352.352943 411.632323 46.146408 7.958514 -3.152376 -0.259233
366.193466 409.360034 46.500851 8.312958 -4.088181 -0.195189
301.419163 303.217778 44.515388 6.327496 0.162061 7.035127
358.333015 340.458584 45.171978 6.984085 -3.493242 4.572628
337.206726 404.252043 44.993217 6.805324 -2.125538 0.497892
357.069435 414.726119 44.946762 6.758871 -3.399774 -0.163744
372.758713 414.524739 44.725597 6.537706 -4.390509 -0.095673
