# u v d x y z 
310.976715 256.189542 53.676647 6.224321 0.581527 9.813930
310.822220 243.174548 53.477959 6.215079 0.382839 10.812833
309.866505 231.353416 53.045151 6.148331 -0.049969 11.710586
308.883991 220.510082 52.608421 6.080812 -0.486700 12.520123
307.872295 197.029867 52.142826 6.012845 -0.952294 14.256193
308.197708 187.057629 51.630035 6.045731 -1.465083 14.960238
302.081051 176.257067 50.860512 5.614283 -2.234607 15.686786
310.980492 175.353384 50.801556 6.261657 -2.293563 15.747000
305.436764 163.890982 51.556751 5.843616 -1.538368 16.660978
314.463825 204.022264 52.272518 6.502820 -0.822601 13.741998
328.752289 202.400980 52.414825 7.571592 -0.680295 13.870710
340.370865 230.659218 53.504330 8.473276 0.409209 11.769320
338.106003 261.753931 52.028431 8.261987 -1.066689 9.438469
335.147667 263.418674 51.736687 8.035792 -1.358431 9.324495
332.220383 266.045580 51.470001 7.814783 -1.625120 9.140265
330.631218 268.611245 51.270924 7.694911 -1.824196 8.959752
328.925171 270.251369 51.072048 7.567417 -2.023070 8.848217
337.281990 270.506272 51.335136 8.183625 -1.759982 8.818153
337.705688 275.092063 51.142479 8.209825 -1.952641 8.491508
337.794075 278.032322 51.030697 8.213441 -2.064421 8.282764
338.053589 281.425123 50.923428 8.229592 -2.171690 8.041774
339.091415 272.247262 51.483658 8.320372 -1.611463 8.683635
339.499588 276.301131 51.297596 8.345210 -1.797524 8.395129
339.440002 280.267782 51.162380 8.337088 -1.932739 8.112223
339.795952 283.989244 51.013676 8.358899 -2.081444 7.849569
340.093575 272.854371 51.652794 8.398933 -1.442325 8.631044
340.621948 276.457429 51.518444 8.433964 -1.576677 8.372173
340.512772 280.619431 51.377861 8.421810 -1.717259 8.074017
340.764771 283.905029 51.257439 8.436734 -1.837680 7.840417
340.469627 272.984304 51.874382 8.433162 -1.220736 8.611015
340.885277 277.018332 51.726749 8.459560 -1.368370 8.319876
340.698128 279.735761 51.645142 8.443318 -1.449978 8.123703
341.108170 282.366886 51.553673 8.470811 -1.541447 7.935118
301.843128 204.579420 52.353134 5.558280 -0.741985 13.704471
287.925644 203.705864 52.652206 4.503685 -0.442914 13.785311
280.506611 233.994656 53.633480 3.890281 0.538359 11.515485
283.204632 266.132040 52.343960 4.164784 -0.751162 9.101281
282.348003 277.246156 52.223347 4.107216 -0.871774 8.276617
282.401695 280.830989 52.115746 4.117002 -0.979372 8.015449
282.560463 283.420215 52.039963 4.132874 -1.055157 7.827378
282.262478 286.273785 51.952248 4.115451 -1.142872 7.621035
282.966137 277.274523 52.015480 4.164330 -1.079641 8.285570
282.686234 280.693703 51.896187 4.149889 -1.198932 8.038433
283.031883 284.635406 51.771664 4.182090 -1.323456 7.754146
283.293533 288.195806 51.648060 4.207924 -1.447058 7.499331
284.028625 276.725349 51.848644 4.251854 -1.246475 8.335132
283.951683 280.562296 51.690571 4.254295 -1.404547 8.060090
284.341087 284.882283 51.548748 4.290274 -1.546373 7.750180
284.497204 288.541145 51.403690 4.309129 -1.691430 7.490796
285.823383 275.136266 51.700848 4.392006 -1.394272 8.460253
285.911350 279.893346 51.520325 4.407294 -1.574794 8.119190
286.151371 282.911568 51.412933 4.430152 -1.682187 7.903631
286.230087 286.268506 51.302296 4.441272 -1.792822 7.664387
287.067184 267.597084 52.094692 4.465343 -1.000430 9.001557
290.774841 270.119491 51.861385 4.751010 -1.233734 8.823875
292.874928 272.649407 51.681232 4.913582 -1.413886 8.644842
295.156307 274.669175 51.514984 5.087917 -1.580137 8.503956
323.319397 264.387474 54.003185 7.172319 0.908066 9.173929
320.721016 319.773545 52.488731 6.970300 -0.606388 5.073627
319.505177 372.014902 53.712360 6.878266 0.617239 0.925599
321.037140 386.304138 52.516224 6.994044 -0.578895 0.079158
324.980125 389.521587 51.556740 7.283034 -1.538379 0.042723
299.288578 264.397717 54.069355 5.316445 0.974234 9.170833
302.639656 320.323048 52.429966 5.615945 -0.665153 5.039167
305.028419 372.830808 53.561405 5.770666 0.466287 0.891639
303.641415 386.158268 52.349102 5.692868 -0.746018 0.124996
299.242306 389.393742 51.377560 5.392693 -1.717562 0.090380
