# u v d x y z 
323.869667 266.853075 52.740532 7.207791 -0.354589 9.032151
324.089088 254.312181 52.379467 7.222211 -0.715653 9.984409
324.370155 245.470662 51.636467 7.238606 -1.458653 10.651808
324.565201 237.513113 50.923061 7.248342 -2.172059 11.236273
325.129662 215.674610 50.023884 7.282815 -3.071235 12.793717
325.381432 206.369362 49.428429 7.296229 -3.666690 13.430087
321.230087 194.196110 48.678379 7.001777 -4.416741 14.240585
330.596542 194.654531 48.639297 7.652533 -4.455823 14.206176
326.133766 182.094297 49.420231 7.349282 -3.674890 15.143521
331.489258 222.519007 50.303349 7.741875 -2.791773 12.311576
346.279907 220.927877 50.455509 8.810472 -2.639610 12.430064
351.107216 247.919269 52.001122 9.227108 -1.093998 10.467058
351.494293 284.570317 51.307438 9.224650 -1.787682 7.788518
348.615608 287.542663 51.062634 9.003646 -2.032486 7.587282
345.731049 291.298285 50.864635 8.785951 -2.230484 7.327833
344.167404 294.670429 50.732212 8.667759 -2.362909 7.093142
342.517357 297.182393 50.577183 8.543183 -2.517937 6.923753
350.777283 296.152310 50.853363 9.152134 -2.241758 6.976025
351.167412 301.362004 50.779053 9.177165 -2.316065 6.604067
351.226082 304.633241 50.741898 9.179764 -2.353222 6.370198
351.438904 308.290544 50.719917 9.194203 -2.375202 6.107229
352.455406 297.037611 51.041622 9.282772 -2.053497 6.896370
352.839050 301.712222 50.961025 9.306967 -2.134094 6.562619
352.725868 306.036916 50.925667 9.297073 -2.169455 6.251111
353.045654 310.194397 50.871803 9.317794 -2.223317 5.954051
353.345566 296.769347 51.220860 9.356218 -1.874261 6.901395
353.832626 300.766425 51.179699 9.389869 -1.915422 6.612491
353.663635 305.292993 51.144142 9.375803 -1.950977 6.284853
353.875084 308.905091 51.107285 9.389469 -1.987834 6.024570
353.591957 295.803752 51.437695 9.384653 -1.657425 6.954764
353.957672 300.259223 51.394299 9.409421 -1.700822 6.631102
353.724480 303.162146 51.380951 9.391659 -1.714170 6.419172
354.099045 306.031766 51.357071 9.417988 -1.738050 6.210790
318.307438 222.224436 50.348476 6.794495 -2.746645 12.333890
303.662319 219.567747 50.569084 5.735975 -2.526034 12.531416
299.235935 244.212027 52.342468 5.363603 -0.752651 10.740405
297.027931 280.520468 51.740414 5.218257 -1.354707 8.060293
295.710926 291.454239 51.875473 5.116225 -1.219647 7.242198
295.222511 295.248928 51.846130 5.081069 -1.248990 6.963298
294.987659 297.993808 51.823009 5.064500 -1.272110 6.761911
294.279766 300.960546 51.807373 5.012666 -1.287746 6.543636
295.166607 292.308712 51.667675 5.083258 -1.427443 7.194403
294.309235 295.943198 51.633888 5.021215 -1.461231 6.928838
293.992271 300.169630 51.586933 4.999579 -1.508188 6.621121
293.598709 304.010925 51.535492 4.972516 -1.559629 6.342739
295.230274 292.533860 51.473221 5.094839 -1.621897 7.192378
294.346600 296.737690 51.406044 5.032321 -1.689076 6.888701
293.973637 301.394792 51.349163 5.007046 -1.745958 6.551686
293.363762 305.394645 51.282810 4.964833 -1.812311 6.264472
296.045246 291.805601 51.254734 5.162243 -1.840387 7.262099
295.189781 296.998444 51.180222 5.102246 -1.914897 6.887940
294.850559 300.284886 51.133820 5.079110 -1.961302 6.651650
294.349728 303.873425 51.095467 5.043932 -1.999652 6.393013
299.232464 283.338747 51.428909 5.390446 -1.666212 7.871267
301.381855 287.108431 51.157978 5.555568 -1.937142 7.612542
302.341633 290.480719 50.982746 5.630132 -2.112373 7.378723
303.533573 293.343430 50.804996 5.721126 -2.290122 7.183769
335.912323 274.205174 53.228016 8.126207 0.132896 8.454397
335.753250 323.386059 50.491798 8.052534 -2.603322 5.040627
331.471443 375.545783 51.982113 7.768106 -1.113006 0.989708
333.893433 391.489906 50.865032 7.925791 -2.230089 0.047447
338.906174 396.009257 49.928970 8.264757 -3.166151 -0.072329
311.491928 274.119301 53.175343 6.269921 0.080222 8.463494
316.993408 323.278556 50.321617 6.700097 -2.773503 5.068628
314.092293 375.496173 51.788937 6.479157 -1.306184 1.030784
314.195423 390.733824 50.656353 6.496179 -2.438765 0.147322
311.494923 395.432146 49.662704 6.312828 -3.432414 0.027957
