# u v d x y z 
325.084229 172.518654 44.487305 6.593122 -1.818162 15.344018
324.487953 156.623497 44.539944 6.630680 -1.870802 16.360477
324.935570 140.905838 44.527943 6.602283 -1.858801 17.358870
325.461082 126.502247 44.558472 6.568618 -1.889331 18.280052
325.220032 97.704163 44.113331 6.587280 -1.444190 20.022705
325.053978 84.194126 44.189121 6.597198 -1.519978 20.890963
328.892021 74.691238 44.979073 6.344878 -2.309933 21.677406
318.741760 75.117216 44.974869 6.997084 -2.305727 21.649044
324.448967 57.275505 44.241783 6.635056 -1.572643 22.604010
317.869434 106.608324 44.265141 7.050971 -1.595998 19.490501
300.811977 106.183376 44.107258 8.125286 -1.438114 19.487190
297.391376 145.406227 43.828590 8.331820 -1.159447 16.978088
298.627357 179.014606 45.809486 8.314913 -3.140346 15.046371
301.286697 179.760189 46.158470 8.150210 -3.489329 15.027610
304.026051 181.593132 46.498268 7.977330 -3.829126 14.935098
305.460148 183.671436 46.752552 7.887350 -4.083412 14.817506
306.875725 184.698887 46.992706 7.797307 -4.323564 14.767856
298.765068 186.886911 46.625511 8.330656 -3.956369 14.593107
298.366165 191.393938 46.877281 8.365007 -4.208139 14.310385
298.337193 194.244146 47.029980 8.371674 -4.360837 14.129496
298.194847 197.581215 47.183102 8.386006 -4.513959 13.914572
297.433662 189.442720 46.486702 8.414864 -3.817560 14.412846
297.014847 193.397741 46.723900 8.450465 -4.054760 14.165985
297.218437 197.265930 46.917919 8.443191 -4.248779 13.919634
296.913300 200.841436 47.114296 8.470119 -4.445153 13.690969
296.870518 190.713758 46.321472 8.446802 -3.652330 14.316802
296.404743 194.363451 46.500668 8.483664 -3.831527 14.086972
296.681080 198.450909 46.704029 8.472081 -4.034889 13.827515
296.510010 201.658344 46.868286 8.489007 -4.199145 13.622512
297.058353 191.517534 46.107758 8.427367 -3.438616 14.248811
296.733284 195.615149 46.308578 8.455454 -3.639438 13.991642
297.068520 198.321333 46.433643 8.437374 -3.764500 13.820060
296.719074 200.973043 46.557682 8.464680 -3.888540 13.651077
332.835960 106.877661 44.187469 6.105973 -1.518326 19.458698
349.663582 106.374664 43.858452 5.057672 -1.189312 19.427643
349.718933 146.875877 43.788933 5.057155 -1.119790 16.880795
342.668686 171.977720 46.163750 5.421284 -3.494610 15.541305
341.527100 182.505083 46.683212 5.480593 -4.014072 14.889710
341.078568 185.262995 46.910698 5.503656 -4.241555 14.723574
340.627975 187.202568 47.074677 5.529020 -4.405536 14.605961
340.640259 189.445124 47.252148 5.522961 -4.583005 14.467966
341.650696 180.940475 46.862350 5.466810 -4.193210 15.009169
341.632385 183.554535 47.087944 5.461065 -4.418804 14.852358
340.881081 186.385288 47.345615 5.503917 -4.676473 14.681674
340.307503 188.841076 47.586033 5.535737 -4.916893 14.533144
341.292992 178.951693 46.991562 5.486827 -4.322422 15.153578
341.126022 181.635990 47.267086 5.489720 -4.597944 14.996353
340.327377 184.681606 47.553211 5.535339 -4.884069 14.813310
339.932899 187.102518 47.812668 5.554749 -5.143526 14.668456
340.345154 175.855751 47.075016 5.548031 -4.405875 15.369059
339.909592 179.228525 47.405941 5.567910 -4.736800 15.170970
339.427071 181.315184 47.611870 5.594873 -4.942728 15.046920
339.055099 183.721218 47.830719 5.614214 -5.161578 14.900865
339.204292 170.561943 46.477718 5.641139 -3.808577 15.665818
335.697327 170.352888 46.816250 5.866400 -4.147107 15.713381
333.710251 171.001825 47.089001 5.993953 -4.419860 15.696865
331.629906 171.168194 47.332413 6.129855 -4.663272 15.709608
310.480881 183.733435 44.314297 7.518860 -1.645157 14.617376
313.213043 252.614379 44.566807 7.348346 -1.897665 10.252239
317.172146 315.442271 42.468964 7.087808 0.200179 6.478279
314.060478 336.934333 42.960155 7.280760 -0.291013 5.106338
307.486534 344.486861 43.672573 7.696949 -1.003432 4.536486
339.733086 182.263269 44.136047 5.672041 -1.466905 14.695745
339.646072 252.733111 44.384758 5.670547 -1.715618 10.247992
333.559570 316.391244 42.465450 6.093652 0.203690 6.421088
338.646164 336.094551 43.042686 5.769696 -0.373546 5.146546
347.296448 342.837353 43.720112 5.211380 -1.050969 4.632414
