# u v d x y z 
316.786366 255.339017 43.262402 7.114855 -0.593261 10.107353
316.308403 239.676018 43.577106 7.146055 -0.907967 11.075525
315.937500 227.413788 44.207092 7.172801 -1.537951 11.850214
315.683174 216.838560 44.820835 7.192647 -2.151694 12.538378
315.071526 191.541510 45.496204 7.236566 -2.827061 14.204897
314.681892 181.403360 46.011883 7.265808 -3.342743 14.906988
319.282112 170.036573 46.747849 6.964185 -4.078706 15.727699
309.533653 170.430565 46.782001 7.615724 -4.112859 15.704782
314.302959 155.279474 45.984856 7.290496 -3.315713 16.620872
307.997265 199.275627 45.277802 7.692610 -2.608661 13.689514
291.409321 197.587566 45.092064 8.757975 -2.422923 13.787449
284.098721 226.547441 43.458736 9.145134 -0.789595 11.890544
275.627613 268.783693 44.039589 9.707872 -1.370446 9.244469
277.752075 272.277360 44.324966 9.591438 -1.655826 9.011510
279.797592 276.663537 44.562202 9.475539 -1.893062 8.721346
280.583668 280.453849 44.711815 9.433922 -2.042675 8.471407
281.554394 283.202720 44.887188 9.381550 -2.218048 8.285002
273.286076 281.262646 44.468452 9.883807 -1.799312 8.434092
271.735744 286.911693 44.520939 9.985913 -1.851799 8.071711
270.991459 290.498142 44.548004 10.035146 -1.878863 7.841655
270.037518 294.525189 44.556385 10.096453 -1.887244 7.584721
271.641617 282.391577 44.250668 9.973228 -1.581525 8.375564
270.177803 287.464800 44.310787 10.070043 -1.641647 8.050781
269.429283 292.311158 44.336536 10.119286 -1.667395 7.742078
268.195419 296.832490 44.372971 10.200132 -1.703828 7.452748
271.055336 282.325888 44.058994 9.996888 -1.389854 8.391306
269.671116 286.740217 44.080173 10.085536 -1.411030 8.112047
268.941288 291.874866 44.106594 10.133422 -1.437452 7.786752
267.953930 295.881743 44.129650 10.197349 -1.460509 7.532440
271.398907 281.641903 43.844006 9.960337 -1.174865 8.447146
270.049000 286.644931 43.868362 10.046625 -1.199221 8.132162
269.737186 290.014744 43.878304 10.066880 -1.209163 7.920269
268.720074 293.212295 43.887444 10.131306 -1.218301 7.719141
322.656746 199.022942 45.246643 6.744516 -2.577503 13.704034
339.196968 196.270523 45.019520 5.681615 -2.350379 13.867758
347.309189 224.116230 43.305927 5.226742 -0.636786 12.038015
353.542328 266.878095 43.843601 4.815361 -1.174459 9.371882
356.358070 279.845653 43.687832 4.647092 -1.018690 8.568542
357.285042 284.237423 43.710079 4.588053 -1.040938 8.293041
357.811928 287.416220 43.728210 4.554173 -1.059069 8.093319
358.928795 290.820966 43.737923 4.483864 -1.068781 7.879924
356.832695 280.446525 43.893917 4.606627 -1.224777 8.519134
358.161583 284.566526 43.920509 4.521848 -1.251368 8.259093
358.896523 289.395118 43.959896 4.473546 -1.290754 7.953351
359.673500 293.738222 44.004368 4.422232 -1.335227 7.677191
356.543045 280.383854 44.088425 4.614633 -1.419284 8.511842
357.905998 285.066047 44.147491 4.525591 -1.478351 8.213139
358.728638 290.319872 44.196056 4.471023 -1.526916 7.878300
359.743309 294.745088 44.254997 4.403613 -1.585855 7.594295
355.266685 279.251504 44.309502 4.683887 -1.640359 8.570765
356.675911 285.019712 44.374279 4.591290 -1.705140 8.201475
357.332268 288.673739 44.414768 4.547522 -1.745627 7.967024
358.211327 292.663164 44.446495 4.490013 -1.777353 7.711510
350.925331 270.015092 44.153191 4.965596 -1.484051 9.162126
348.564224 274.210525 44.420483 5.103617 -1.751340 8.884432
347.645531 277.895751 44.591301 5.155169 -1.922161 8.641327
346.425171 280.966644 44.765804 5.226321 -2.096663 8.435493
301.942825 265.540495 42.794346 8.020164 -0.125204 9.493944
302.785683 328.109851 44.481136 8.010117 -1.811996 5.456463
306.188145 397.615600 43.245243 7.769524 -0.576103 1.318037
304.371204 411.302884 44.226891 7.903689 -1.557748 0.232224
299.400826 411.773593 45.135445 8.244460 -2.466305 -0.020468
332.271042 264.879699 42.864582 6.164823 -0.195442 9.531846
327.935143 327.375669 44.693539 6.409599 -2.024397 5.476603
330.304527 396.191812 43.452988 6.276580 -0.783845 1.359642
329.655914 408.759885 44.460869 6.302941 -1.791729 0.336485
332.418289 409.063132 45.427448 6.110340 -2.758307 0.083776
