# u v d x y z 
349.350739 265.957074 49.762630 6.198181 1.066968 9.210083
344.472656 252.488937 49.756191 6.204620 0.719964 10.167641
334.823151 242.275329 49.795959 6.164852 0.034917 10.893497
325.509148 233.276253 49.837780 6.123033 -0.627324 11.534068
312.736320 211.508074 49.873211 6.087602 -1.537078 13.085335
303.293533 203.725262 49.868656 6.092155 -2.209743 13.639605
291.716080 194.348974 50.221764 5.739048 -3.048800 14.330608
290.755196 193.650141 49.570301 6.390512 -3.090521 14.337609
300.298557 179.955597 49.937725 6.023088 -2.425052 15.338902
316.555386 217.805586 49.392849 6.567965 -1.262615 12.621422
318.399277 215.047646 48.326546 7.634267 -1.130070 12.778016
347.809296 230.704079 47.198544 8.762270 0.855524 11.682149
350.900116 270.375438 46.387394 9.573420 1.028121 9.042447
348.087006 275.201654 46.489513 9.471297 0.845799 8.717489
346.226578 280.599003 46.575222 9.385591 0.725453 8.354061
345.296707 284.910221 46.586155 9.374657 0.663978 8.066508
343.737602 288.442268 46.622185 9.338628 0.561438 7.828952
348.099518 283.769603 46.113064 9.847750 0.831519 8.172000
348.801422 289.134164 45.952129 10.008681 0.871136 7.829901
349.368858 292.546520 45.864494 10.096316 0.904709 7.612473
350.310173 296.264706 45.758038 10.202775 0.961776 7.377411
351.338844 283.485804 45.990875 9.969937 1.039442 8.198286
351.780777 288.359199 45.842907 10.117906 1.061759 7.888320
352.735405 292.918110 45.740574 10.220240 1.119492 7.597494
353.393898 297.233934 45.612137 10.348674 1.156394 7.325983
353.991776 282.330179 45.949524 10.011289 1.211734 8.276712
354.812050 286.369529 45.813648 10.147162 1.258822 8.020561
355.843086 291.173444 45.709644 10.251166 1.320976 7.713758
356.572456 294.928951 45.602734 10.358078 1.363019 7.476914
356.903839 280.561109 45.971813 9.989000 1.404065 8.391546
357.854691 285.129604 45.831985 10.128826 1.458949 8.100530
358.653526 288.231654 45.774117 10.186694 1.508057 7.901413
359.344063 291.132917 45.675018 10.285794 1.547642 7.718934
317.477589 218.365774 50.339504 5.621309 -1.200955 12.611153
320.769920 216.602983 51.400269 4.560544 -0.963024 12.773376
346.981888 235.520182 52.262516 3.698295 0.994930 11.389824
350.056267 271.478062 52.700195 3.260617 1.243258 8.685501
354.634666 280.819774 52.937988 3.022824 1.599712 7.968334
355.311737 284.351692 52.997681 2.963131 1.653927 7.697448
355.819511 286.915841 53.031857 2.928957 1.694119 7.501024
356.315880 289.607692 53.103775 2.857038 1.735455 7.291993
352.270050 282.384753 52.915359 3.045454 1.419841 7.851351
352.714653 285.746541 52.997635 2.963179 1.457295 7.591845
353.375549 289.722791 53.043007 2.917806 1.509496 7.287577
353.833313 293.349323 53.088581 2.872231 1.546386 7.009301
350.072250 283.368001 52.848572 3.112240 1.250833 7.781162
350.292969 287.363019 52.926426 3.034385 1.270868 7.474278
350.949249 291.746807 52.976048 2.984766 1.322682 7.139156
351.203117 295.539250 53.032810 2.928003 1.344426 6.847640
347.541084 283.643532 52.712914 3.247897 1.054398 7.768818
347.993927 288.554363 52.795052 3.165762 1.091785 7.393315
348.355560 291.661534 52.833103 3.127711 1.120602 7.156158
348.849678 294.984155 52.887691 3.073119 1.160145 6.901094
348.030815 275.471220 52.470505 3.490307 1.081571 8.396511
346.734543 280.161324 52.267906 3.692904 0.976668 8.056575
346.028175 284.010086 52.175762 3.785048 0.920498 7.774987
345.197449 287.418065 52.062450 3.898361 0.854500 7.528643
356.291389 274.903722 48.830265 7.130545 1.512039 8.620561
321.821785 327.070556 48.950542 7.010271 -0.892163 4.966570
340.613365 385.105255 49.204845 6.755967 0.429409 0.855528
323.272972 397.043173 49.079086 6.881724 -0.790082 0.044594
309.602394 398.212194 48.770233 7.190578 -1.743980 0.032436
355.167999 273.364720 50.687168 5.273645 1.526964 8.639410
320.580635 324.599404 50.360500 5.600311 -0.977785 4.968975
338.042908 381.975596 50.293800 5.667012 0.276793 0.854654
320.761757 391.784978 50.361370 5.599441 -0.964756 0.135217
307.221127 390.828853 50.637402 5.323411 -1.943972 0.144527
