# u v d x y z 
314.685936 213.144150 49.577511 6.383300 -1.395928 12.957424
313.494568 198.790798 49.539124 6.421690 -1.479950 13.971740
312.760391 184.730387 49.565617 6.395197 -1.532182 14.968889
311.491871 171.813126 49.594265 6.366548 -1.622351 15.886327
316.337662 146.910610 49.604069 6.356745 -1.279084 17.651947
313.877411 134.791088 49.567085 6.393727 -1.453100 18.505213
301.733475 125.424242 49.813316 6.147495 -2.319439 19.208784
301.648064 124.310675 49.161198 6.799614 -2.308421 19.180252
310.707932 110.688686 49.525944 6.434870 -1.676985 20.204308
315.091782 153.702478 49.131836 6.828977 -1.364059 17.112436
318.462906 151.694498 48.072617 7.888196 -1.125119 17.119753
304.162121 179.400158 46.858784 9.102030 -2.079764 15.111979
267.907448 188.188391 47.915947 8.044864 -4.585364 14.601933
265.897121 187.540627 48.258640 7.702172 -4.749460 14.671954
263.320007 187.789364 48.593189 7.367624 -4.954218 14.679760
260.678654 188.162184 48.807381 7.153432 -5.155730 14.669741
258.838501 187.918653 49.020851 6.939961 -5.302685 14.702603
256.524773 187.755260 48.359047 7.601764 -5.404704 14.664651
251.440506 188.876724 48.456051 7.504761 -5.765448 14.594261
248.371468 189.764957 48.524715 7.436098 -5.984921 14.537702
244.918232 190.941410 48.583687 7.377124 -6.230629 14.460282
255.300961 189.828987 48.186066 7.774746 -5.473262 14.508991
250.666828 190.655766 48.277264 7.683550 -5.801296 14.458508
246.701374 192.081928 48.374718 7.586096 -6.084988 14.366819
242.668934 193.033905 48.449306 7.511507 -6.371897 14.306036
255.484409 191.613693 48.046963 7.913848 -5.447814 14.376522
251.470928 192.613850 48.103027 7.857784 -5.728781 14.311667
247.313385 194.154110 48.208084 7.752727 -6.025391 14.212704
243.829746 195.138674 48.273174 7.687638 -6.272387 14.149071
256.702404 193.827295 47.920639 8.040174 -5.352789 14.216251
252.287178 195.048637 47.993732 7.967080 -5.662117 14.137335
249.677486 196.208553 48.065380 7.895431 -5.848242 14.062290
246.792927 196.987095 48.101635 7.859178 -6.050102 14.011059
315.288105 155.734892 50.080097 5.880716 -1.356662 17.083937
318.803864 157.679729 51.150433 4.810378 -1.106963 17.070667
304.421654 188.832378 51.765789 4.195025 -2.171595 14.839262
271.124363 186.292906 50.362251 5.598559 -4.535970 14.919373
260.353394 189.496365 50.098667 5.862144 -5.288438 14.669879
256.651993 189.617071 49.975449 5.985365 -5.542194 14.652371
254.024677 189.722013 49.879005 6.081809 -5.720678 14.637953
250.948963 189.795198 49.804062 6.156752 -5.932448 14.627361
259.547558 186.758595 50.007259 5.953554 -5.338217 14.858868
255.830250 186.654768 49.908726 6.052088 -5.594745 14.858775
251.826801 186.672478 49.753414 6.207400 -5.865058 14.845680
248.134708 186.535320 49.614521 6.346292 -6.113219 14.844820
259.600105 184.287872 49.910816 6.049995 -5.326142 15.027699
255.393829 183.830166 49.779091 6.181721 -5.613896 15.049762
250.984421 183.760872 49.607742 6.353071 -5.910568 15.040924
247.068520 183.367596 49.469223 6.491588 -6.173651 15.057588
260.915184 181.588182 49.796928 6.163882 -5.222762 15.210686
255.832825 181.202631 49.625557 6.335257 -5.568604 15.223719
252.700558 181.036034 49.506565 6.454248 -5.779222 15.225505
249.192352 180.970459 49.389256 6.571557 -6.015469 15.220251
269.978828 183.512135 50.001736 5.959077 -4.592625 15.090346
267.897415 181.353579 49.630512 6.330299 -4.713670 15.213431
265.485020 179.943523 49.382038 6.578775 -4.865360 15.292089
263.649139 178.472528 49.139145 6.821667 -4.975320 15.374512
318.495846 222.923441 48.666439 7.294373 -1.124133 12.242579
314.227524 285.767384 48.608307 7.352504 -1.420403 7.877251
341.209755 341.062732 48.907715 7.053098 0.462327 3.994290
337.433701 362.040303 48.611622 7.349189 0.191126 2.580248
329.793549 372.738097 48.055439 7.905373 -0.347226 1.942804
318.909321 222.535486 50.521870 5.438942 -1.098279 12.315844
318.000603 284.164438 50.607178 5.353633 -1.164107 7.862448
343.882332 338.299642 50.243404 5.717407 0.694626 3.999773
338.924904 356.331153 50.585400 5.375412 0.348045 2.648705
331.467400 363.390784 51.196396 4.764416 -0.180859 2.030839
